question_text,category,choice_1,choice_2,choice_3,choice_4,correct_index
What is the purpose of a train-test split in machine learning?,Machine Learning,To increase dataset size,To evaluate model performance on unseen data,To remove outliers,To normalize the data,1
Which technique is used to reduce overfitting in decision trees?,Machine Learning,Increasing tree depth,Pruning,Adding more features,Removing the test set,1
What does K-Means clustering aim to do?,Machine Learning,Predict continuous values,Classify labeled data,Group similar data points into clusters,Reduce feature dimensions,2
Which of these is a supervised learning algorithm?,Machine Learning,K-Means Clustering,Linear Regression,PCA,DBSCAN,1
What is the role of the learning rate in gradient descent?,Machine Learning,Determines the number of features,Controls the size of steps taken to minimize loss,Sets the number of training epochs,Defines the model architecture,1
"What is the output of print(type([1,2,3]) == list) in Python?",Python,False,True,Error,None,1
What will [x**2 for x in range(4)] evaluate to?,Python,"[0, 1, 4, 9]","[1, 4, 9, 16]","[0, 2, 4, 6]",Error,0
"Given a list with a mutable default argument in a function definition, what common bug can occur across multiple calls?",Python,The function runs slower each call,The default value persists and accumulates across calls,Python raises a TypeError,Nothing unusual happens,1
Two features in a dataset have a correlation of 0.98. What issue does this most likely cause in a linear regression model?,Statistics,Underfitting,Multicollinearity,Data leakage,Class imbalance,1
A dataset has mean = 50 and median = 80. What does this suggest about the distribution?,Statistics,It is perfectly normal,It is left-skewed (negatively skewed),It has zero variance,It is right-skewed (positively skewed),1
You run an A/B test and get a p-value of 0.5. What is the correct interpretation?,Statistics,The treatment definitely has no effect,There is insufficient evidence to reject the null hypothesis,The null hypothesis is proven true,The sample size was too large,1
"Given tables Orders and Customers, which JOIN would you use to include all customers even if they have no orders?",SQL,INNER JOIN,LEFT JOIN,RIGHT JOIN,CROSS JOIN,1
You need to find the second-highest salary in an Employees table. Which approach works correctly?,SQL,Use MAX(salary) twice,Use LIMIT 2 OFFSET 1 on salary sorted descending with DISTINCT,Use MIN(salary),Use COUNT(salary),1
A query with a GROUP BY and a WHERE clause filtering on an aggregate fails. What is the fix?,SQL,Remove the WHERE clause entirely,Replace WHERE with HAVING for the aggregate condition,Move GROUP BY before SELECT,Use ORDER BY instead,1
"Given df with a 'salary' column containing NaN values, what does df['salary'].fillna(df['salary'].mean()) do?",Pandas/NumPy,Drops rows with NaN,Replaces NaN values with the column's mean,Replaces all values with the mean,Raises an error since NaN can't be filled,1
What is the key difference between df.loc[] and df.iloc[]?,Pandas/NumPy,They are identical,loc uses label-based indexing; iloc uses integer position-based indexing,loc is faster than iloc,iloc only works on Series,1
A model achieves 98% training accuracy but 60% test accuracy. What is the most likely problem and fix?,Machine Learning,Underfitting; add more features,Overfitting; use regularization or more training data,Data leakage; nothing to fix,The model needs more epochs only,1
"You have a highly imbalanced binary classification dataset (95% class A, 5% class B). Why is accuracy a poor metric here?",Machine Learning,Accuracy cannot be computed for binary classes,A model predicting only class A would still score 95% accuracy while being useless,Accuracy only works for regression,Accuracy requires balanced classes to be calculated at all,1
